LAST SEEN   TYPE      REASON                   OBJECT                            MESSAGE
7m3s        Normal    Started                  pod/greenbone-66cb98dcbb-9w9mb    Started container cert-bund-data
7m2s        Normal    Started                  pod/greenbone-66cb98dcbb-9w9mb    Started container dfn-cert-data
7m2s        Normal    Pulled                   pod/greenbone-66cb98dcbb-9w9mb    Container image "harbor.knowledgeondemand.net/cleanroom/data-objects:latest" already present on machine
7m2s        Normal    Started                  pod/greenbone-66cb98dcbb-9w9mb    Started container data-objects
7m2s        Normal    Created                  pod/greenbone-66cb98dcbb-9w9mb    Created container: data-objects
7m1s        Normal    Created                  pod/greenbone-66cb98dcbb-9w9mb    Created container: report-formats
7m1s        Normal    Pulled                   pod/greenbone-66cb98dcbb-9w9mb    Container image "harbor.knowledgeondemand.net/cleanroom/report-formats:latest" already present on machine
7m          Normal    Created                  pod/greenbone-66cb98dcbb-9w9mb    Created container: gpg-data
7m          Normal    Started                  pod/greenbone-66cb98dcbb-9w9mb    Started container report-formats
7m          Normal    Pulled                   pod/greenbone-66cb98dcbb-9w9mb    Container image "harbor.knowledgeondemand.net/cleanroom/gpg-data:latest" already present on machine
6m59s       Normal    Started                  pod/greenbone-66cb98dcbb-9w9mb    Started container gpg-data
6m59s       Normal    Pulled                   pod/greenbone-66cb98dcbb-9w9mb    Container image "harbor.knowledgeondemand.net/cleanroom/pg-gvm:stable" already present on machine
6m33s       Normal    SuccessfulDelete         replicaset/greenbone-66cb98dcbb   Deleted pod: greenbone-66cb98dcbb-9w9mb
6m33s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled down replica set greenbone-66cb98dcbb from 1 to 0
6m31s       Warning   Unhealthy                pod/greenbone-66cb98dcbb-9w9mb    Readiness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to create exec "b9fdc9a0e1002639e2af1cfc18f6b5f809fe3f023d762756dbcf9d68d682e0a8": task 6d5711c67bd0619ad163d8538620c5618fd871f9d744b37170527b7c6b896945 not found
6m29s       Normal    SuccessfulCreate         replicaset/greenbone-5b47cbc679   Created pod: greenbone-5b47cbc679-zd5bv
6m29s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled up replica set greenbone-5b47cbc679 from 0 to 1
6m16s       Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: vulnerability-tests
6m16s       Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/vulnerability-tests:latest" already present on machine
6m16s       Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container vulnerability-tests
5m39s       Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container notus-data
5m39s       Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: notus-data
5m39s       Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/notus-data:latest" already present on machine
5m26s       Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: scap-data
5m26s       Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/scap-data:latest" already present on machine
5m26s       Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container scap-data
2m5s        Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/cert-bund-data:latest" already present on machine
2m5s        Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: cert-bund-data
2m5s        Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container cert-bund-data
2m4s        Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: dfn-cert-data
2m4s        Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container dfn-cert-data
2m4s        Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/dfn-cert-data:latest" already present on machine
2m3s        Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: data-objects
2m3s        Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container data-objects
2m3s        Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/data-objects:latest" already present on machine
2m2s        Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: report-formats
2m2s        Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/report-formats:latest" already present on machine
2m2s        Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container report-formats
2m1s        Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/gpg-data:latest" already present on machine
2m1s        Normal    Created                  pod/greenbone-5b47cbc679-zd5bv    Created container: gpg-data
2m1s        Normal    Started                  pod/greenbone-5b47cbc679-zd5bv    Started container gpg-data
2m          Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/pg-gvm:stable" already present on machine
77s         Warning   Unhealthy                pod/greenbone-5b47cbc679-zd5bv    Startup probe failed: Get "http://10.14.0.31:80/": dial tcp 10.14.0.31:80: connect: connection refused
10s         Normal    Pulling                  pod/login-test-s8-3058            Pulling image "curlimages/curl"
9s          Normal    Pulled                   pod/greenbone-5b47cbc679-zd5bv    Container image "harbor.knowledgeondemand.net/cleanroom/gsa:stable" already present on machine
9s          Normal    Pulled                   pod/login-test-s8-3058            Successfully pulled image "curlimages/curl" in 767ms (767ms including waiting). Image size: 10299358 bytes.
9s          Normal    Created                  pod/login-test-s8-3058            Created container: login-test-s8-3058
9s          Normal    Started                  pod/login-test-s8-3058            Started container login-test-s8-3058
