LAST SEEN   TYPE      REASON                   OBJECT                            MESSAGE
25m         Normal    Pulled                   pod/greenbone-75d6cc858-b7wzv     Container image "harbor.knowledgeondemand.net/cleanroom/data-objects:latest" already present on machine
25m         Normal    Started                  pod/greenbone-75d6cc858-b7wzv     Started container data-objects
25m         Normal    Created                  pod/greenbone-75d6cc858-b7wzv     Created container: report-formats
25m         Normal    Pulled                   pod/greenbone-75d6cc858-b7wzv     Container image "harbor.knowledgeondemand.net/cleanroom/report-formats:latest" already present on machine
25m         Normal    Started                  pod/greenbone-75d6cc858-b7wzv     Started container report-formats
25m         Normal    Started                  pod/greenbone-75d6cc858-b7wzv     Started container gpg-data
25m         Normal    Pulled                   pod/greenbone-75d6cc858-b7wzv     Container image "harbor.knowledgeondemand.net/cleanroom/gpg-data:latest" already present on machine
25m         Normal    Created                  pod/greenbone-75d6cc858-b7wzv     Created container: gpg-data
25m         Normal    Pulled                   pod/greenbone-75d6cc858-b7wzv     Container image "harbor.knowledgeondemand.net/cleanroom/pg-gvm:stable" already present on machine
25m         Warning   Unhealthy                pod/greenbone-75d6cc858-b7wzv     Startup probe failed: Get "http://10.14.0.28:80/": dial tcp 10.14.0.28:80: connect: connection refused
12m         Normal    Pulling                  pod/login-test-now                Pulling image "curlimages/curl"
12m         Normal    Started                  pod/login-test-now                Started container login-test-now
12m         Normal    Pulled                   pod/greenbone-75d6cc858-b7wzv     Container image "harbor.knowledgeondemand.net/cleanroom/gsa:stable" already present on machine
12m         Normal    Created                  pod/login-test-now                Created container: login-test-now
12m         Normal    Pulled                   pod/login-test-now                Successfully pulled image "curlimages/curl" in 787ms (787ms including waiting). Image size: 10299358 bytes.
12m         Normal    Created                  pod/greenbone-75d6cc858-b7wzv     Created container: gsa
12m         Normal    Started                  pod/greenbone-75d6cc858-b7wzv     Started container gsa
10m         Normal    Pulling                  pod/login-test-json               Pulling image "curlimages/curl"
10m         Normal    Pulled                   pod/login-test-json               Successfully pulled image "curlimages/curl" in 806ms (806ms including waiting). Image size: 10299358 bytes.
10m         Normal    Started                  pod/login-test-json               Started container login-test-json
10m         Normal    Created                  pod/login-test-json               Created container: login-test-json
10m         Normal    Pulling                  pod/login-test-form               Pulling image "curlimages/curl"
10m         Normal    Pulled                   pod/login-test-form               Successfully pulled image "curlimages/curl" in 798ms (798ms including waiting). Image size: 10299358 bytes.
10m         Normal    Created                  pod/login-test-form               Created container: login-test-form
10m         Normal    Started                  pod/login-test-form               Started container login-test-form
10m         Warning   BackOff                  pod/greenbone-75d6cc858-b7wzv     Back-off restarting failed container gsa in pod greenbone-75d6cc858-b7wzv_openvas(130a4a69-af03-4098-9adf-016f937aa0d4)
6m37s       Normal    Killing                  pod/greenbone-75d6cc858-b7wzv     Stopping container redis-server
6m37s       Normal    SuccessfulDelete         replicaset/greenbone-75d6cc858    Deleted pod: greenbone-75d6cc858-b7wzv
6m37s       Normal    SuccessfulCreate         replicaset/greenbone-7fffdbd8     Created pod: greenbone-7fffdbd8-67vcp
6m37s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled up replica set greenbone-7fffdbd8 from 0 to 1
6m36s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled down replica set greenbone-7fffdbd8 from 1 to 0
6m35s       Normal    SuccessfulDelete         replicaset/greenbone-7fffdbd8     Deleted pod: greenbone-7fffdbd8-67vcp
6m33s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled up replica set greenbone-75d6cc858 from 0 to 1
6m33s       Normal    SuccessfulCreate         replicaset/greenbone-75d6cc858    Created pod: greenbone-75d6cc858-2mdrv
6m33s       Normal    SuccessfulDelete         replicaset/greenbone-75d6cc858    Deleted pod: greenbone-75d6cc858-2mdrv
6m33s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled down replica set greenbone-75d6cc858 from 1 to 0
6m31s       Normal    SuccessfulCreate         replicaset/greenbone-7cbbd95c5    Created pod: greenbone-7cbbd95c5-5bv7b
6m31s       Normal    ScalingReplicaSet        deployment/greenbone              Scaled up replica set greenbone-7cbbd95c5 from 0 to 1
6m29s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/vulnerability-tests:latest" already present on machine
6m28s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container vulnerability-tests
6m28s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: vulnerability-tests
5m52s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/notus-data:latest" already present on machine
5m52s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: notus-data
5m52s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container notus-data
5m38s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/scap-data:latest" already present on machine
5m38s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: scap-data
5m38s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container scap-data
2m23s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/cert-bund-data:latest" already present on machine
2m22s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/dfn-cert-data:latest" already present on machine
2m22s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container cert-bund-data
2m22s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: cert-bund-data
2m21s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: dfn-cert-data
2m21s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container dfn-cert-data
2m21s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/data-objects:latest" already present on machine
2m20s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: data-objects
2m20s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container data-objects
2m20s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/report-formats:latest" already present on machine
2m19s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: report-formats
2m19s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container report-formats
2m18s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/gpg-data:latest" already present on machine
2m17s       Normal    Created                  pod/greenbone-7cbbd95c5-5bv7b     Created container: gpg-data
2m17s       Normal    Started                  pod/greenbone-7cbbd95c5-5bv7b     Started container gpg-data
2m17s       Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/pg-gvm:stable" already present on machine
10s         Normal    Pulling                  pod/login-test-s7-3058            Pulling image "curlimages/curl"
9s          Normal    Pulled                   pod/login-test-s7-3058            Successfully pulled image "curlimages/curl" in 802ms (802ms including waiting). Image size: 10299358 bytes.
9s          Normal    Created                  pod/login-test-s7-3058            Created container: login-test-s7-3058
9s          Normal    Started                  pod/login-test-s7-3058            Started container login-test-s7-3058
8s          Normal    Pulled                   pod/greenbone-7cbbd95c5-5bv7b     Container image "harbor.knowledgeondemand.net/cleanroom/gsa:stable" already present on machine
